name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"55 Cnc e",08:52:35.24,+28:19:47.34,6.0,2459370.80754300,9.3e-05,0.73654625000,1.5e-07,1.54,,0.38
"AU Mic b",20:45:09.87,-31:20:32.82,8.8,2458330.39051000,0.00015,8.46300000000,2e-06,3.50,,2.4
"AU Mic c",20:45:09.87,-31:20:32.82,8.8,2458342.22231000,0.0005,18.85901900000,1.6e-06,4.24,,0.97
"BD-14 3065 b",10:14:40.72,-15:38:34.21,11.1,2459313.48578000,0.00076,4.28897310000,5.2e-06,3.09,,6.5
"BD+20 594 b",03:34:36.27,+20:35:56.47,10.8,2457151.90210000,0.0047,41.68550000000,0.0031,5.34,"Duration estimated. ",0.49
"CoRoT-10 b",19:24:15.28,+00:44:45.65,15.3,2454273.34430000,0.0012,13.24060000000,0.0002,2.98,,16.1
"CoRoT-11 b",18:42:44.95,+05:56:15.57,12.9,2456019.96220000,0.00037,2.99427803000,4.9e-07,2.50,,11.4
"CoRoT-12 b",06:43:03.76,-01:17:47.20,15.6,2454398.62771000,0.00024,2.82805268000,6.5e-07,2.57,,17.4
"CoRoT-13 b",06:50:53.07,-05:05:11.24,15.0,2459225.37710000,0.00340000,4.03515000000,0.00002600000,3.14,,11.9
"CoRoT-14 b",06:53:41.81,-05:32:09.74,15.9,2454787.67020000,0.0053,1.51214000000,0.00013,1.66,,8.6
"CoRoT-16 b",18:34:05.92,-06:00:09.37,16.1,2454923.91450000,0.0022,5.35227000000,0.0002,2.39,,10.2
"CoRoT-17 b",18:34:47.82,-06:36:44.24,16.3,2454923.31000000,0.0036,3.76810000000,0.0003,4.72,,4.4
"CoRoT-18 b",06:32:41.38,-00:01:53.78,14.9,2455321.72565000,0.00024,1.90009000000,5e-07,2.39,,25.7
"CoRoT-19 b",06:28:08.06,-00:10:14.63,14.1,2455701.71540000,0.00048,3.89713790000,1.6e-06,4.70,,6.3
"CoRoT-1 b",06:48:19.17,-03:06:07.70,13.6,2456268.99119000,0.00012,1.50896877200,8.3e-08,2.37,,19.3
"CoRoT-20 b",06:30:52.90,+00:13:36.82,14.6,2455266.00160000,0.001,9.24318000000,9e-06,2.22,,10.9
"CoRoT-21 b",06:44:12.63,-00:17:56.96,16.1,2454399.02900000,0.0009,2.72474000000,0.00014,4.76,,4.5
"CoRoT-22 b",18:42:40.11,+06:13:09.00,13.8,2454598.42014000,0.00099000,9.75598000000,0.00011,4.49,,1.5
"CoRoT-23 b",18:39:07.84,+04:21:27.91,15.7,2455308.94000000,0.001,3.63130000000,0.0001,3.89,,4.5
"CoRoT-24 b",06:47:41.41,-03:43:09.44,15.4,2454789.61100000,0.006,5.11340000000,0.0006,2.85,,1.4
"CoRoT-24 c",06:47:41.41,-03:43:09.44,15.4,2454795.38030000,0.0265,11.75900000000,0.0063,4.80,,2.5
"CoRoT-25 b",18:42:31.12,+06:30:49.76,14.8,2454576.21630000,0.0008,4.86069000000,6e-05,1.92,,7.2
"CoRoT-26 b",18:39:00.12,+06:58:11.22,15.9,2454573.63060000,0.0008,4.20474000000,5e-05,5.47,,5.2
"CoRoT-27 b",18:33:59.00,+05:32:18.17,15.8,2455748.68500000,0.001,3.57532000000,6e-05,2.77,,9.8
"CoRoT-28 b",18:34:45.20,+05:34:25.29,13.8,2455755.84740000,0.0029,5.20851000000,0.00038,5.70,,3.0
"CoRoT-29 b",18:35:36.50,+06:28:46.45,15.4,2457212.60482000,0.0003,2.85056150000,7.2e-06,2.19,,10.6
"CoRoT-2 b",19:27:06.49,+01:23:01.19,12.5,2457347.04314000,0.00012,1.74299700000,1.1e-07,2.27,,27.5
"CoRoT-30 b",18:30:24.28,+06:50:09.36,15.6,2455665.51460000,0.0012,9.06005000000,0.00024,3.87,"Duration estimated. ",13.0
"CoRoT-31 b",06:19:16.98,-04:25:20.27,15.5,2455843.94450000,0.0044,4.62941000000,0.00075,3.76,"Duration estimated. ",4.9
"CoRoT-35 b",19:17:15.44,-02:46:28.95,15.6,2456074.24150000,0.0018,3.22748000000,8e-05,4.19,,12.6
"CoRoT-36 b",18:31:00.24,+07:11:00.05,13.1,2455662.52236000,0.00034,5.61653100000,2.3e-05,4.98,,10.1
"CoRoT-3 b",19:28:13.27,+00:07:18.61,13.4,2454283.13388000,0.00024,4.25679940000,3.5e-06,3.38,,4.4
